#name ra dec peak peak_sigma pol_flux_density pol_flux_density_sigma pol_angle pol_angle_sigma
AT20GJ034109-105250 55.290 -10.881 122 6 <6 - <4.9 -
AT20GJ034121-595408 55.340 -59.902 172 8 <10 - <5.9 -
AT20GJ034136-491402 55.401 -49.234 102 5 <7 - <6.5 -
AT20GJ034138-553427 55.410 -55.574 48 3 <6 - <12.5 -
AT20GJ034205-370320 55.523 -37.056 246 11 10 2 4.6 35
AT20GJ034208-043542 55.535 -4.595 99 5 <6 - <6.1 -
AT20GJ034240-300757 55.668 -30.133 146 7 <6 - <4.1 -
AT20GJ034258-431813 55.745 -43.304 97 4 <6 - <6.2 -
AT20GJ034301-262945 55.756 -26.496 87 6 <6 - <6.9 -
AT20GJ034319-253017 55.831 -25.505 285 19 10 1 3.6 -71
AT20GJ034349-524116 55.956 -52.688 171 9 <8 - <4.6 -
AT20GJ034450-624746 56.212 -62.796 65 4 <8 - <12.0 -
AT20GJ034505-505206 56.272 -50.868 51 2 <6 - <11.7 -
AT20GJ034533-002302 56.390 -0.384 79 4 <6 - <7.6 -
AT20GJ034553-530043 56.473 -53.012 46 2 <6 - <13.0 -
AT20GJ034630-342246 56.627 -34.379 102 4 <6 - <6.2 -
AT20GJ034650-771437 56.709 -77.244 48 3 <10 - <20.7 -
AT20GJ034701-290028 56.756 -29.008 73 4 <6 - <8.3 -
AT20GJ034701-110053 56.757 -11.015 212 11 <6 - <2.8 -
AT20GJ034708-110712 56.786 -11.120 56 3 <13 - <22.3 -
AT20GJ034730-303521 56.877 -30.589 55 2 <6 - <11.5 -
AT20GJ034743-655159 56.930 -65.867 65 3 <6 - <9.2 -
AT20GJ034759-361636 56.996 -36.277 138 7 13 2 9.8 24
AT20GJ034838-274913 57.159 -27.820 1325 84 120 3 9.0 -76
AT20GJ034839-161017 57.164 -16.171 940 62 33 2 3.5 -87
AT20GJ034843-214952 57.180 -21.831 47 3 <6 - <12.7 -
AT20GJ034845-133200 57.188 -13.533 55 3 <19 - <35.3 -
AT20GJ034845-082422 57.190 -8.406 72 4 <14 - <19.9 -
AT20GJ034912-485825 57.304 -48.974 152 8 <6 - <4.1 -
AT20GJ034914-143838 57.308 -14.644 69 4 <13 - <18.2 -
AT20GJ034933-080827 57.388 -8.141 95 5 <18 - <19.3 -
AT20GJ034941-540106 57.423 -54.019 80 9 <8 - <10.1 -
AT20GJ034957-210247 57.491 -21.046 864 56 25 1 3.0 -66
AT20GJ035043-323258 57.681 -32.550 123 6 <6 - <4.9 -
AT20GJ035045-010846 57.691 -1.146 49 3 <14 - <29.0 -
AT20GJ035051-471350 57.714 -47.231 139 6 <6 - <4.3 -
AT20GJ035057-172515 57.738 -17.421 49 3 <6 - <12.2 -
AT20GJ035110-115326 57.795 -11.891 596 30 <23 - <3.9 -
AT20GJ035115-030121 57.814 -3.023 101 5 <16 - <16.0 -
AT20GJ035126-792157 57.858 -79.366 55 3 <12 - <21.7 -
AT20GJ035128-514254 57.868 -51.715 401 20 <10 - <2.5 -
AT20GJ035129-143000 57.874 -14.500 53 3 <7 - <14.3 -
AT20GJ035138-090236 57.909 -9.044 166 5 24 5 14.5 17
AT20GJ035145-274311 57.938 -27.720 122 8 30 2 24.8 76
AT20GJ035150-695935 57.959 -69.993 56 3 <8 - <15.1 -
AT20GJ035152-593747 57.969 -59.630 125 7 <9 - <7.4 -
AT20GJ035155-420606 57.982 -42.102 82 4 <6 - <7.3 -
AT20GJ035159-202851 57.999 -20.481 56 4 <6 - <10.7 -
AT20GJ035211-251450 58.046 -25.247 516 34 10 1 2.0 9
AT20GJ035216-735701 58.070 -73.951 75 8 <7 - <10.0 -
AT20GJ035217-844137 58.073 -84.694 92 10 <8 - <9.1 -
AT20GJ035232-071104 58.134 -7.185 98 5 11 1 11.5 6
AT20GJ035247-404059 58.197 -40.683 146 5 <6 - <4.1 -
AT20GJ035257-683117 58.239 -68.522 68 3 <6 - <10.2 -
AT20GJ035316-251715 58.318 -25.288 71 5 <6 - <8.8 -
AT20GJ035402-083429 58.512 -8.575 57 3 <17 - <30.5 -
AT20GJ035410-265013 58.542 -26.837 98 6 <6 - <6.1 -
AT20GJ035414-030804 58.562 -3.135 87 5 <10 - <11.4 -
AT20GJ035420-175524 58.585 -17.923 125 8 <6 - <4.8 -
AT20GJ035425-161622 58.604 -16.273 142 9 <6 - <4.2 -
AT20GJ035432-151414 58.637 -15.237 85 5 <6 - <7.1 -
AT20GJ035505-161209 58.771 -16.203 114 7 <6 - <5.3 -
AT20GJ035525-512054 58.858 -51.349 48 2 <6 - <13.1 -
AT20GJ035547-664533 58.949 -66.759 324 16 <6 - <1.9 -
AT20GJ035549-633103 58.955 -63.517 55 3 <11 - <20.1 -
AT20GJ035620-402128 59.087 -40.358 91 5 <6 - <6.6 -
AT20GJ035700-495547 59.251 -49.930 74 4 <8 - <10.5 -
AT20GJ035721-481215 59.341 -48.204 185 9 <7 - <4.1 -
AT20GJ035722-025457 59.345 -2.916 61 3 <6 - <11.3 -
AT20GJ035728-462542 59.370 -46.429 171 8 <8 - <4.6 -
AT20GJ035730-694845 59.375 -69.813 187 9 <6 - <3.2 -
AT20GJ035736-415901 59.403 -41.984 81 4 <6 - <7.4 -
AT20GJ035743-075112 59.431 -7.853 261 13 <6 - <2.3 -
AT20GJ035814-595233 59.558 -59.876 44 3 <6 - <13.6 -
AT20GJ035933-261530 59.890 -26.259 231 15 <6 - <2.6 -
AT20GJ035949-414508 59.957 -41.752 89 4 <6 - <6.8 -
AT20GJ040017-161041 60.071 -16.178 167 7 <17 - <13.9 -
AT20GJ040019-225624 60.080 -22.940 231 15 <6 - <2.6 -
AT20GJ040028-015207 60.117 -1.869 107 5 <7 - <6.7 -
AT20GJ040038-081809 60.162 -8.303 112 6 <7 - <6.2 -
AT20GJ040039-575712 60.165 -57.953 59 3 <8 - <14.3 -
AT20GJ040106-160640 60.278 -16.111 403 26 <11 - <2.8 -
AT20GJ040121-292127 60.340 -29.358 152 10 <6 - <4.0 -
AT20GJ040124-611017 60.354 -61.172 91 5 <6 - <6.6 -
AT20GJ040146-592716 60.445 -59.455 82 9 <9 - <11.0 -
AT20GJ040150-203520 60.461 -20.589 74 4 <10 - <13.7 -
AT20GJ040200-261540 60.504 -26.261 95 6 <8 - <8.8 -
AT20GJ040216-145820 60.570 -14.972 80 4 <7 - <8.2 -
AT20GJ040218-061912 60.577 -6.320 99 5 <7 - <7.0 -
AT20GJ040221-314725 60.589 -31.790 467 16 36 2 7.7 -76
AT20GJ040311-503015 60.799 -50.504 82 4 <7 - <9.1 -
AT20GJ040314-180953 60.809 -18.165 54 4 <11 - <21.0 -
AT20GJ040341-244409 60.924 -24.736 298 19 <6 - <2.0 -
AT20GJ040344-601359 60.935 -60.233 44 2 <7 - <17.2 -
AT20GJ040347-473847 60.946 -47.646 154 7 13 2 8.2 48
AT20GJ040353-360500 60.974 -36.084 4013 189 83 3 2.1 60
AT20GJ040400-552023 61.000 -55.340 84 10 <11 - <13.6 -
AT20GJ040423-171837 61.099 -17.310 55 4 <11 - <20.9 -
AT20GJ040438-041655 61.161 -4.282 82 3 <7 - <8.5 -
AT20GJ040441-155925 61.174 -15.991 98 7 <12 - <12.5 -
AT20GJ040446-294012 61.195 -29.670 60 4 <9 - <14.5 -
AT20GJ040500-073921 61.254 -7.656 106 6 <9 - <8.8 -
AT20GJ040520-211915 61.333 -21.321 50 3 <12 - <24.1 -
AT20GJ040534-130813 61.392 -13.137 1576 77 <16 - <1.0 -
AT20GJ040556-183111 61.485 -18.520 94 5 <8 - <10.0 -
AT20GJ040612-174958 61.550 -17.833 173 19 <9 - <5.0 -
AT20GJ040639-235505 61.664 -23.918 143 9 <6 - <4.2 -
AT20GJ040658-382627 61.746 -38.441 1169 47 51 2 4.3 13
AT20GJ040733-330345 61.891 -33.063 563 23 10 2 1.8 85
AT20GJ040748-121136 61.952 -12.193 1245 61 14 2 1.2 89
AT20GJ040753-055604 61.972 -5.934 65 3 <7 - <14.2 -
AT20GJ040758-275705 61.992 -27.952 107 7 <6 - <5.9 -
AT20GJ040818-012235 62.077 -1.376 127 6 <7 - <5.2 -
AT20GJ040820-654508 62.086 -65.752 396 19 15 1 3.8 -53
AT20GJ040848-750720 62.203 -75.122 856 48 48 3 6.6 61
AT20GJ040854-163945 62.228 -16.663 104 6 <10 - <9.5 -
AT20GJ040859-052940 62.249 -5.495 232 12 <9 - <3.9 -
AT20GJ040905-123847 62.274 -12.647 302 15 <7 - <2.5 -
AT20GJ040906-175710 62.278 -17.953 219 14 <6 - <2.7 -
AT20GJ040937-165535 62.406 -16.927 194 13 <8 - <4.2 -
AT20GJ041013-125110 62.558 -12.853 133 7 <6 - <4.8 -
AT20GJ041022-523253 62.594 -52.548 96 5 <8 - <8.4 -
AT20GJ041057-145114 62.741 -14.854 65 3 <7 - <10.7 -
AT20GJ041059-163611 62.748 -16.603 150 10 <7 - <4.8 -
AT20GJ041125-275821 62.855 -27.973 154 10 11 2 7.3 40
AT20GJ041137-514923 62.905 -51.823 259 12 <7 - <2.8 -
AT20GJ041149-042415 62.957 -4.404 74 4 <7 - <8.9 -
AT20GJ041150-080758 62.959 -8.133 149 8 <7 - <4.4 -
AT20GJ041239-833521 63.164 -83.589 211 24 <10 - <4.7 -
AT20GJ041247-561638 63.199 -56.277 120 6 <7 - <5.7 -
AT20GJ041247-560035 63.200 -56.010 118 6 <10 - <8.5 -
AT20GJ041250-460449 63.210 -46.081 170 8 <8 - <4.6 -
AT20GJ041300-343009 63.254 -34.503 75 4 <7 - <8.8 -
AT20GJ041313-533200 63.305 -53.534 163 7 <7 - <4.6 -
AT20GJ041328-061501 63.368 -6.250 108 5 <6 - <5.8 -
AT20GJ041333-432408 63.390 -43.402 84 4 <6 - <7.1 -
AT20GJ041351-565759 63.465 -56.966 75 4 <7 - <8.8 -
AT20GJ041403-130637 63.513 -13.110 42 2 <6 - <14.2 -
AT20GJ041514-402341 63.810 -40.395 109 6 <6 - <5.5 -
AT20GJ041554-473735 63.976 -47.626 286 14 7 2 2.6 87
AT20GJ041555-143037 63.980 -14.511 73 4 <6 - <8.2 -
AT20GJ041558-463749 63.995 -46.630 171 9 <6 - <3.7 -
AT20GJ041604-205629 64.018 -20.941 907 101 <14 - <1.5 -
AT20GJ041610-340303 64.042 -34.051 142 5 <6 - <4.2 -
AT20GJ041631-153654 64.133 -15.615 98 6 <11 - <11.3 -
AT20GJ041636-185108 64.153 -18.852 584 38 11 2 1.9 -84
AT20GJ041642-361212 64.178 -36.203 79 4 <6 - <7.6 -
AT20GJ041716-055345 64.320 -5.896 80 4 <6 - <7.5 -
AT20GJ041758-025019 64.493 -2.839 195 9 6 2 3.3 26
AT20GJ041859-501833 64.747 -50.309 55 3 <6 - <11.5 -
AT20GJ041900-213235 64.752 -21.543 71 5 <6 - <8.9 -
AT20GJ041906-590641 64.778 -59.112 76 9 <7 - <9.5 -
AT20GJ041909-211248 64.788 -21.213 86 6 <7 - <8.4 -
AT20GJ041913-142018 64.805 -14.339 47 3 <6 - <13.5 -
AT20GJ041936-571142 64.903 -57.195 58 3 <6 - <10.3 -
AT20GJ041943-103514 64.931 -10.587 140 7 <7 - <4.7 -
AT20GJ041946-395004 64.945 -39.835 142 7 <7 - <4.6 -
AT20GJ041959-563611 64.998 -56.603 48 3 <6 - <12.5 -
AT20GJ042026-651400 65.111 -65.234 48 2 <6 - <12.6 -
AT20GJ042042-575623 65.178 -57.940 91 4 <7 - <9.0 -
AT20GJ042046-555712 65.193 -55.954 88 4 <8 - <9.5 -
AT20GJ042053-075220 65.225 -7.872 58 3 <6 - <10.4 -
AT20GJ042056-622338 65.234 -62.394 165 8 <6 - <3.6 -
AT20GJ042104-215602 65.268 -21.934 62 4 <6 - <9.7 -
AT20GJ042119-672902 65.332 -67.484 122 6 <6 - <4.9 -
AT20GJ042127-481805 65.364 -48.301 452 22 <6 - <1.3 -
AT20GJ042203-562127 65.516 -56.358 95 5 <7 - <7.9 -
AT20GJ042210-064344 65.545 -6.729 122 6 <6 - <5.2 -
AT20GJ042214-384452 65.562 -38.748 69 4 <6 - <9.1 -
AT20GJ042229-650705 65.622 -65.118 101 5 <6 - <6.0 -
AT20GJ042254-331508 65.726 -33.252 179 9 <8 - <4.7 -
AT20GJ042308-395356 65.785 -39.899 71 4 <6 - <8.4 -
AT20GJ042315-012033 65.816 -1.343 5999 295 116 4 1.9 -71
AT20GJ042319-164316 65.831 -16.721 67 4 <8 - <11.6 -
AT20GJ042325-312350 65.857 -31.397 122 5 <6 - <4.9 -
AT20GJ042346-340240 65.946 -34.045 83 4 <6 - <7.3 -
AT20GJ042354-222400 65.976 -22.400 91 5 <6 - <8.6 -
AT20GJ042357-181416 65.989 -18.238 71 5 <9 - <12.2 -
AT20GJ042433-384840 66.140 -38.811 254 11 6 2 2.5 -55
AT20GJ042442-375620 66.176 -37.939 1686 70 <17 - <1.0 -
AT20GJ042504-533158 66.268 -53.533 184 9 <6 - <3.4 -
AT20GJ042504-575455 66.270 -57.915 114 6 <8 - <7.1 -
AT20GJ042506-664650 66.279 -66.781 212 10 <6 - <2.8 -
AT20GJ042511-024735 66.296 -2.793 69 3 <6 - <8.7 -
AT20GJ042519-322313 66.331 -32.387 105 5 <7 - <6.6 -
AT20GJ042535-590642 66.400 -59.112 52 3 <7 - <14.4 -
AT20GJ042553-453935 66.472 -45.660 83 4 <6 - <7.2 -
AT20GJ042553-161240 66.474 -16.211 130 8 12 3 9.5 3
AT20GJ042605-441104 66.523 -44.185 133 7 <6 - <4.5 -
AT20GJ042633-120006 66.639 -12.002 76 4 <7 - <9.5 -
AT20GJ042653-521530 66.722 -52.259 62 3 <7 - <11.2 -
AT20GJ042721-012634 66.840 -1.443 65 3 <6 - <9.2 -
AT20GJ042721-390100 66.840 -39.017 159 8 <6 - <3.8 -
AT20GJ042726-070031 66.859 -7.009 172 8 <7 - <4.0 -
AT20GJ042738-042450 66.912 -4.414 76 4 <6 - <7.9 -
AT20GJ042748-471417 66.953 -47.238 62 3 <6 - <9.7 -
AT20GJ042810-435746 67.042 -43.963 114 5 <7 - <5.8 -
AT20GJ042810-643823 67.045 -64.640 326 15 6 2 2.0 37
AT20GJ042835-674913 67.150 -67.820 74 4 <6 - <8.1 -
AT20GJ042840-375619 67.168 -37.939 1850 91 40 2 2.2 -45
AT20GJ042842-500534 67.178 -50.093 238 11 <8 - <3.5 -
AT20GJ042844-123016 67.187 -12.505 190 9 <6 - <3.2 -
AT20GJ042852-543007 67.218 -54.502 54 3 <7 - <13.3 -
AT20GJ042908-534940 67.284 -53.828 145 4 <8 - <9.9 -
AT20GJ042912-785437 67.300 -78.910 83 9 <8 - <10.1 -
AT20GJ042919-000611 67.330 -0.103 92 5 <6 - <6.6 -
AT20GJ042925-432836 67.354 -43.477 121 6 <6 - <5.0 -
AT20GJ042932-270957 67.386 -27.166 63 4 <9 - <14.4 -
AT20GJ042959-372700 67.499 -37.450 65 3 <6 - <9.3 -
AT20GJ043007-225444 67.531 -22.912 166 11 <6 - <3.6 -
AT20GJ043021-052344 67.588 -5.396 63 3 <6 - <9.6 -
AT20GJ043022-613201 67.592 -61.534 148 7 <6 - <4.0 -
AT20GJ043121-575005 67.838 -57.835 65 4 <8 - <12.5 -
AT20GJ043128-640631 67.867 -64.109 143 7 <6 - <4.2 -
AT20GJ043128-040626 67.867 -4.107 183 9 <6 - <3.3 -
AT20GJ043157-085446 67.988 -8.913 62 3 <6 - <9.6 -
AT20GJ043221-510925 68.089 -51.157 319 15 16 3 4.9 -84
AT20GJ043229-161405 68.122 -16.235 262 17 <7 - <2.6 -
AT20GJ043233-631552 68.138 -63.265 64 3 <7 - <11.3 -
AT20GJ043237-343348 68.156 -34.564 126 6 <6 - <4.8 -
AT20GJ043244-330910 68.186 -33.153 83 4 <6 - <7.2 -
AT20GJ043255-355031 68.230 -35.842 94 5 <9 - <9.9 -
AT20GJ043313-450254 68.308 -45.048 144 7 <6 - <4.2 -
AT20GJ043334-603014 68.392 -60.504 230 9 <6 - <2.6 -
AT20GJ043354-022955 68.479 -2.499 167 8 <6 - <3.6 -
AT20GJ043356-072131 68.486 -7.359 116 6 <6 - <5.2 -
AT20GJ043403-435547 68.513 -43.930 146 6 <6 - <4.1 -
AT20GJ043408-201517 68.533 -20.255 70 5 <6 - <8.5 -
AT20GJ043417-130954 68.572 -13.165 63 3 <6 - <9.5 -
AT20GJ043418-144255 68.579 -14.716 164 7 10 1 6.4 -71
AT20GJ043420-251433 68.586 -25.243 99 6 <6 - <6.1 -
AT20GJ043429-234205 68.621 -23.701 74 5 <6 - <8.1 -
AT20GJ043445-421108 68.689 -42.186 165 7 <6 - <3.6 -
AT20GJ043508-081102 68.785 -8.184 73 3 <6 - <8.2 -
AT20GJ043607-184450 69.029 -18.747 71 5 <7 - <10.6 -
AT20GJ043611-100254 69.047 -10.049 92 4 <6 - <6.5 -
AT20GJ043621-605637 69.091 -60.944 104 5 <6 - <5.8 -
AT20GJ043624-563331 69.102 -56.559 78 4 <7 - <8.5 -
AT20GJ043635-543631 69.146 -54.609 47 3 <6 - <12.7 -
AT20GJ043643-584010 69.180 -58.669 122 6 <7 - <5.9 -
AT20GJ043651-593137 69.215 -59.527 68 4 <7 - <10.1 -
AT20GJ043652-521639 69.218 -52.278 74 4 <7 - <9.8 -
AT20GJ043701-184448 69.256 -18.747 523 34 6 2 1.2 -36
AT20GJ043736-295403 69.402 -29.901 564 24 17 3 2.9 -66
AT20GJ043748-281339 69.451 -28.228 103 6 <6 - <5.8 -
AT20GJ043754-425853 69.478 -42.982 119 4 <6 - <5.0 -
AT20GJ043807-081850 69.531 -8.314 97 5 <6 - <6.2 -
AT20GJ043812-212603 69.551 -21.434 119 8 <6 - <5.1 -
AT20GJ043821-393250 69.590 -39.547 65 3 <6 - <9.2 -
AT20GJ043834-125103 69.645 -12.851 337 17 11 1 3.2 -82
AT20GJ043837-084821 69.657 -8.806 122 6 <6 - <4.9 -
AT20GJ043839-650321 69.666 -65.056 78 3 <6 - <8.8 -
AT20GJ043843-233656 69.683 -23.616 68 4 <6 - <8.9 -
AT20GJ043850-201226 69.711 -20.207 119 8 <6 - <5.0 -
AT20GJ043900-452222 69.753 -45.373 700 30 41 2 5.8 12
AT20GJ043953-301745 69.972 -30.296 156 8 <9 - <5.6 -
AT20GJ043954-251307 69.976 -25.219 75 3 <6 - <13.9 -
AT20GJ044003-002712 70.015 -0.454 61 3 <6 - <9.8 -
AT20GJ044017-433308 70.072 -43.552 1947 87 44 2 2.2 4
AT20GJ044022-493540 70.096 -49.595 46 3 <6 - <13.0 -
AT20GJ044023-473218 70.099 -47.538 61 3 <6 - <9.9 -
AT20GJ044047-695217 70.200 -69.872 587 29 18 2 3.0 -86
AT20GJ044112-500403 70.301 -50.068 53 2 <7 - <13.0 -
AT20GJ044117-431344 70.322 -43.229 188 9 <6 - <3.2 -
AT20GJ044119-295236 70.331 -29.877 195 13 13 1 6.9 83
AT20GJ044133-334003 70.390 -33.668 269 12 <7 - <2.5 -
AT20GJ044134-330008 70.396 -33.002 160 7 <6 - <3.8 -
AT20GJ044158-515453 70.493 -51.915 262 13 <7 - <2.8 -
AT20GJ044233-364336 70.639 -36.727 120 5 <6 - <5.0 -
AT20GJ044237-282530 70.657 -28.425 260 17 6 1 2.3 -35
AT20GJ044238-001744 70.661 -0.296 1079 48 18 2 1.6 -57
AT20GJ044245-681838 70.689 -68.311 74 4 <6 - <8.1 -
AT20GJ044318-665204 70.826 -66.868 115 6 <6 - <5.2 -
AT20GJ044325-590341 70.855 -59.062 54 2 <7 - <13.2 -
AT20GJ044335-133018 70.899 -13.505 74 2 <6 - <8.1 -
AT20GJ044400-213010 71.001 -21.503 143 9 7 1 4.7 40
AT20GJ044409-205113 71.038 -20.854 70 5 <6 - <8.6 -
AT20GJ044414-592453 71.061 -59.415 64 3 <7 - <11.2 -
AT20GJ044436-280914 71.150 -28.154 221 10 <6 - <4.0 -
AT20GJ044501-601500 71.257 -60.250 55 2 <6 - <11.0 -
AT20GJ044513-654708 71.305 -65.786 111 6 <10 - <9.2 -
AT20GJ044518-352545 71.327 -35.429 112 6 <6 - <5.4 -
AT20GJ044608-133156 71.534 -13.532 51 3 <6 - <11.7 -
AT20GJ044622-172937 71.595 -17.494 58 4 <6 - <10.3 -
AT20GJ044709-332939 71.790 -33.494 94 5 <9 - <9.2 -
AT20GJ044710-062551 71.794 -6.431 59 3 <6 - <10.3 -
AT20GJ044713-342121 71.806 -34.356 69 3 <6 - <8.7 -
AT20GJ044737-220336 71.905 -22.060 87 6 <9 - <10.4 -
AT20GJ044742-015248 71.928 -1.880 93 5 <9 - <9.3 -
AT20GJ044748-515100 71.950 -51.850 156 8 <7 - <4.8 -
AT20GJ044753-160443 71.972 -16.079 56 4 <11 - <18.7 -
AT20GJ044809-563740 72.039 -56.628 58 3 <8 - <13.5 -
AT20GJ044815-365901 72.063 -36.984 156 8 <6 - <3.8 -
AT20GJ044817-210944 72.072 -21.162 268 17 8 2 3.1 35
AT20GJ044822-381552 72.092 -38.265 68 3 <7 - <10.1 -
AT20GJ044822-504133 72.093 -50.693 76 4 <8 - <10.7 -
AT20GJ044823-262615 72.100 -26.438 99 7 <6 - <6.1 -
AT20GJ044832-524108 72.137 -52.686 58 2 <6 - <15.6 -
AT20GJ044849-093530 72.206 -9.592 60 3 <6 - <10.0 -
AT20GJ044854-291612 72.228 -29.270 127 8 <6 - <4.7 -
AT20GJ044858-204446 72.245 -20.746 59 4 <6 - <10.1 -
AT20GJ044914-254228 72.312 -25.708 115 8 <6 - <5.2 -
AT20GJ044924-610627 72.352 -61.108 155 7 <6 - <3.9 -
AT20GJ044924-435008 72.353 -43.836 118 6 <6 - <5.1 -
AT20GJ044931-214243 72.380 -21.712 158 10 <6 - <3.8 -
AT20GJ044939-480940 72.415 -48.161 209 10 9 2 4.2 -7
AT20GJ044942-391109 72.426 -39.186 401 19 <6 - <1.5 -
AT20GJ044942-005722 72.429 -0.956 246 12 <8 - <3.3 -
AT20GJ044958-830011 72.492 -83.003 143 16 <13 - <9.0 -
AT20GJ045005-810102 72.522 -81.017 1447 160 <21 - <1.5 -
AT20GJ045035-183700 72.650 -18.617 128 8 <6 - <4.9 -
AT20GJ045100-043154 72.751 -4.532 52 3 <6 - <11.7 -
AT20GJ045102-493626 72.761 -49.607 147 7 <6 - <4.3 -
AT20GJ045112-035452 72.801 -3.915 105 5 <9 - <8.6 -
AT20GJ045124-442850 72.853 -44.481 244 12 <6 - <2.6 -
AT20GJ045153-692329 72.972 -69.392 296 13 <6 - <2.2 -
AT20GJ045153-465319 72.972 -46.889 360 16 <6 - <1.7 -
AT20GJ045234-853518 73.142 -85.588 412 46 <12 - <3.0 -
AT20GJ045238-530635 73.162 -53.110 78 4 8 2 10.1 28
AT20GJ045244-225804 73.187 -22.968 98 5 <6 - <7.3 -
AT20GJ045314-280737 73.311 -28.127 1793 117 34 2 1.9 67
AT20GJ045316-394905 73.319 -39.818 220 10 <8 - <3.8 -
AT20GJ045317-604239 73.322 -60.711 56 3 <9 - <15.6 -
AT20GJ045336-513021 73.403 -51.506 85 4 <7 - <8.2 -
AT20GJ045339-000421 73.413 -0.072 102 5 <6 - <5.9 -
AT20GJ045341-123352 73.421 -12.565 142 7 <7 - <4.7 -
AT20GJ045355-074527 73.482 -7.758 111 5 <8 - <7.0 -
AT20GJ045359-120112 73.500 -12.020 121 4 <6 - <5.2 -
AT20GJ045424-014812 73.600 -1.804 62 3 <8 - <12.5 -
AT20GJ045503-553112 73.765 -55.520 67 4 <7 - <10.7 -
AT20GJ045523-203409 73.848 -20.569 331 10 22 1 14.6 -36
AT20GJ045548-000927 73.954 -0.158 64 4 <8 - <12.2 -
AT20GJ045550-461558 73.962 -46.266 4157 207 168 3 4.0 58
AT20GJ045551-690209 73.965 -69.036 61 3 <6 - <9.9 -
AT20GJ045558-530239 73.996 -53.044 61 3 <6 - <9.9 -
AT20GJ045608-701433 74.036 -70.243 96 5 <6 - <6.2 -
AT20GJ045608-215909 74.037 -21.986 256 17 <6 - <2.3 -
AT20GJ045623-114413 74.096 -11.737 64 3 <6 - <9.4 -
AT20GJ045632-404122 74.135 -40.689 272 12 <6 - <2.2 -
AT20GJ045636-313611 74.153 -31.603 160 8 <7 - <4.1 -
AT20GJ045659-150305 74.249 -15.052 73 5 8 2 10.8 39
AT20GJ045703-232451 74.263 -23.414 3841 251 82 3 2.1 -32
AT20GJ045716-402520 74.317 -40.422 103 5 15 2 14.9 -21
AT20GJ045720-084905 74.334 -8.818 104 5 <7 - <6.9 -
AT20GJ045754-181916 74.477 -18.321 107 7 <6 - <5.6 -
AT20GJ045900-041657 74.751 -4.283 58 3 <7 - <16.2 -
AT20GJ045921-452845 74.838 -45.479 76 3 <7 - <8.7 -
AT20GJ045954-071142 74.979 -7.195 51 3 <6 - <11.8 -
AT20GJ045959-575227 74.999 -57.874 64 3 <6 - <9.4 -
AT20GJ050000-632237 75.002 -63.377 68 3 <8 - <12.3 -
AT20GJ050019-532121 75.080 -53.356 135 7 <6 - <4.7 -
AT20GJ050106-304737 75.279 -30.794 77 4 <6 - <7.8 -
AT20GJ050112-015914 75.303 -1.987 1097 53 <11 - <1.0 -
AT20GJ050112-242302 75.304 -24.384 98 6 <6 - <6.1 -
AT20GJ050123-162808 75.348 -16.469 60 4 <8 - <13.1 -
AT20GJ050138-040124 75.410 -4.023 86 5 <7 - <8.0 -
AT20GJ050142-170608 75.428 -17.102 120 7 <6 - <5.0 -
AT20GJ050151-120623 75.464 -12.107 47 3 <6 - <12.9 -
AT20GJ050159-135504 75.500 -13.918 59 3 <7 - <11.1 -
AT20GJ050210-205717 75.544 -20.955 141 9 <6 - <4.3 -
AT20GJ050244-354116 75.685 -35.688 77 4 <9 - <11.6 -
AT20GJ050329-573541 75.874 -57.595 96 5 <8 - <8.4 -
AT20GJ050335-134507 75.896 -13.752 71 3 <6 - <8.5 -
AT20GJ050356-063802 75.984 -6.634 151 7 <7 - <4.4 -
AT20GJ050358-841141 75.996 -84.195 67 8 <18 - <27.2 -
AT20GJ050401-502313 76.007 -50.387 129 7 <6 - <4.7 -
AT20GJ050401-604953 76.007 -60.831 215 10 9 1 4.3 28
AT20GJ050425-190925 76.107 -19.157 72 5 <7 - <10.0 -
AT20GJ050428-151227 76.120 -15.208 162 11 <6 - <3.7 -
AT20GJ050434-074436 76.144 -7.743 174 8 <7 - <4.3 -
AT20GJ050453-101451 76.221 -10.248 123 5 <6 - <5.8 -
AT20GJ050455-272311 76.230 -27.387 91 6 <6 - <6.6 -
AT20GJ050502-101725 76.262 -10.291 83 4 7 1 8.8 33
AT20GJ050541-155838 76.423 -15.977 108 7 <6 - <5.5 -
AT20GJ050543-791439 76.431 -79.244 224 11 <9 - <4.0 -
AT20GJ050546-621544 76.445 -62.262 83 4 <6 - <7.2 -
AT20GJ050548-623611 76.452 -62.603 97 5 <6 - <6.2 -
AT20GJ050551-041926 76.463 -4.324 268 13 <7 - <2.5 -
AT20GJ050551-695116 76.466 -69.855 51 3 <6 - <12.5 -
AT20GJ050555-293038 76.482 -29.511 271 18 <6 - <2.2 -
AT20GJ050557-161558 76.488 -16.266 86 6 <6 - <7.0 -
AT20GJ050603-431058 76.516 -43.183 111 4 <7 - <6.8 -
AT20GJ050614-273141 76.561 -27.528 69 3 <11 - <25.2 -
AT20GJ050625-145400 76.604 -14.900 65 4 <6 - <9.7 -
AT20GJ050644-610941 76.683 -61.161 1655 81 22 2 1.3 -5
AT20GJ050725-501322 76.855 -50.223 79 4 <6 - <8.0 -
AT20GJ050732-510416 76.885 -51.071 103 5 <6 - <5.8 -
